instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-06-08T09:00:00.000000000Z,1.15084,1.15146,1.14997,1.15126,8017
EUR_USD,H1,2026-06-08T10:00:00.000000000Z,1.15126,1.15325,1.151,1.15245,8312
EUR_USD,H1,2026-06-08T11:00:00.000000000Z,1.15246,1.15438,1.15234,1.15366,10041
EUR_USD,H1,2026-06-08T12:00:00.000000000Z,1.15364,1.15437,1.15351,1.15422,8039
EUR_USD,H1,2026-06-08T13:00:00.000000000Z,1.15424,1.15548,1.15414,1.15416,11137
EUR_USD,H1,2026-06-08T14:00:00.000000000Z,1.15414,1.15444,1.15318,1.15428,10139
EUR_USD,H1,2026-06-08T15:00:00.000000000Z,1.1543,1.15478,1.15365,1.15442,7715
EUR_USD,H1,2026-06-08T16:00:00.000000000Z,1.15442,1.15462,1.15389,1.15389,4643
EUR_USD,H1,2026-06-08T17:00:00.000000000Z,1.1539,1.15415,1.15356,1.1538,4881
EUR_USD,H1,2026-06-08T18:00:00.000000000Z,1.15381,1.15421,1.15278,1.15284,4319
EUR_USD,H1,2026-06-08T19:00:00.000000000Z,1.15284,1.15344,1.1528,1.15309,4424
EUR_USD,H1,2026-06-08T20:00:00.000000000Z,1.15308,1.15338,1.15304,1.15324,1542
